tick,left_rpm_ref,left_rpm_fbk,right_rpm_ref,right_rpm_fbk
1,30,0,0,0
2,30,0,0,0
3,30,0,0,0
4,30,0,0,0
5,30,0,0,0
6,30,0,0,0
7,30,0,0,0
8,30,0,0,0
9,30,0,0,0
10,30,0,0,0
11,30,0,0,0
12,30,0,0,0
13,30,0,0,0
14,30,0,0,0
15,30,0,0,0
16,30,0,0,0
17,30,0,0,0
18,30,0,0,0
19,30,0,0,0
20,30,0,0,0
21,30,0,0,0
22,30,0,0,0
23,30,0,0,0
24,30,0,0,0
25,30,0,0,0
26,30,0,0,0
27,30,0,0,0
28,30,0,0,0
29,30,0,0,0
30,30,0,0,0
31,30,0,0,0
32,30,0,0,0
33,30,0,0,0
34,30,0,0,0
35,30,0,0,0
36,30,0,0,0
37,30,0,0,0
38,30,0,0,0
39,30,0,0,0
40,30,0,0,0
41,30,0,0,0
42,30,0,0,0
43,30,0,0,0
44,30,0,0,0
45,30,0,0,0
46,30,0,0,0
47,30,0,0,0
48,30,0,0,0
49,30,0,0,0
50,30,0,0,0
51,30,0,0,0
52,30,0,0,0
53,30,0,0,0
54,30,0,0,0
55,30,0,0,0
56,30,0,0,0
57,30,0,0,0
58,30,0,0,0
59,30,0,0,0
60,30,0,0,0
61,30,0,0,0
62,30,0,0,0
63,30,0,0,0
64,30,0,0,0
65,30,0,0,0
66,30,0,0,0
67,30,0,0,0
68,30,0,0,0
69,30,0,0,0
70,30,0,0,0
71,30,0,0,0
72,30,0,0,0
73,30,0,0,0
74,30,0,0,0
75,30,0,0,0
76,30,0,0,0
77,30,0,0,0
78,30,0,0,0
79,30,0,0,0
80,30,0,0,0
81,30,0,0,0
82,30,0,0,0
83,30,0,0,0
84,30,0,0,0
85,30,0,0,0
86,30,0,0,0
87,30,0,0,0
88,30,0,0,0
89,30,0,0,0
90,30,0,0,0
91,30,0,0,0
92,30,0,0,0
93,30,0,0,0
94,30,0,0,0
95,30,0,0,0
96,30,0,0,0
97,30,0,0,0
98,30,0,0,0
99,30,0,0,0
100,30,0,0,0
101,30,0,0,0
102,30,0,0,0
103,30,0,0,0
104,30,0,0,0
105,30,0,0,0
106,30,0,0,0
107,30,0,0,0
108,30,0,0,0
109,30,0,0,0
110,30,0,0,0
111,30,0,0,0
112,30,0,0,0
113,30,0,0,0
114,30,0,0,0
115,30,0,0,0
116,30,0,0,0
117,30,0,0,0
118,30,0,0,0
119,30,0,0,0
120,30,0,0,0
121,30,0,0,0
122,30,0,0,0
123,30,0,0,0
124,30,0,0,0
125,30,0,0,0
126,30,0,0,0
127,30,0,0,0
128,30,0,0,0
129,30,0,0,0
130,30,0,0,0
131,30,0,0,0
132,30,0,0,0
133,30,0,0,0
134,30,0,0,0
135,30,0,0,0
136,30,0,0,0
137,30,0,0,0
138,30,0,0,0
139,30,0,0,0
140,30,0,0,0
141,30,0,0,0
142,30,0,0,0
143,30,0,0,0
144,30,0,0,0
145,30,0,0,0
146,30,0,0,0
147,30,0,0,0
148,30,0,0,0
